company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,delay_minutes,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,minimum_turn_minutes,hour,ground_time_pressure,insufficient_ground_time,load_factor,family_complexity,bags_per_pax,transfer_bag_pct,ssr_intensity,historical_delay,is_peak_hour,aircraft_size,is_international,high_stress_flight,total_pax,lap_child_count,is_child,basic_economy_ind,is_stroller_user,total_bags,transfer_bags,total_ssr,difficulty_score,daily_rank,daily_percentile,difficulty_class,primary_driver,data_completeness
UA,1811,2025-08-01,ORD,MSP,2025-08-01 12:45:00+00:00,2025-08-01 14:28:00+00:00,2025-08-01 13:39:00+00:00,2025-08-01 15:01:00+00:00,54.0,166,B737-800,Mainline,14,51,12,2.0,1,1.2035928143712575,8.4,0.8663366336633663,0.6647727272727273,0.7475247524752475,54.0,0,3,0,0,201,0,14,16,2,175,117,151,75.48276886512181,1.0,0.0017825311942959,Difficult,ground_time_pressure,1.0
UA,907,2025-08-01,ORD,FRA,2025-08-01 18:25:00+00:00,2025-08-02 09:55:00+00:00,2025-08-01 18:39:00+00:00,2025-08-02 09:49:00+00:00,14.0,318,B787-10,Mainline,210,155,18,0.7380952380952381,0,1.250783699059561,16.5,0.8125,0.6226993865030674,0.3375,14.0,1,4,1,0,399,1,24,0,5,325,203,135,74.2498514557338,2.0,0.0035650623885918,Difficult,aircraft_size,1.0
UA,2011,2025-08-01,ORD,YVR,2025-08-01 08:48:00+00:00,2025-08-01 11:33:00+00:00,2025-08-01 09:24:00+00:00,2025-08-01 11:33:00+00:00,36.0,150,A320-200,Mainline,8,60,8,2.0,1,1.1258278145695364,3.7,0.8538011695906432,0.2925170068027211,0.5087719298245614,36.0,1,2,1,1,170,0,6,4,1,146,43,87,74.07902554961377,3.0,0.0053475935828877,Difficult,high_stress_flight,1.0
UA,1761,2025-08-01,ORD,FAT,2025-08-01 19:57:00+00:00,2025-08-01 22:30:00+00:00,2025-08-01 21:08:00+00:00,2025-08-01 23:38:00+00:00,71.0,126,B737-700,Mainline,-10,43,19,2.0,1,1.1338582677165354,3.0,0.6827586206896552,0.54,0.7379310344827587,71.0,1,2,0,1,144,0,6,16,0,99,54,107,72.69756387403446,4.0,0.0071301247771836,Difficult,high_stress_flight,1.0
UA,972,2025-08-01,ORD,BRU,2025-08-01 17:50:00+00:00,2025-08-02 08:50:00+00:00,2025-08-01 20:23:00+00:00,2025-08-02 10:50:00+00:00,153.0,318,B787-10,Mainline,691,100,17,0.1447178002894356,0,1.1191222570532915,10.4,1.2877094972067038,0.5974025974025974,0.505586592178771,153.0,1,4,1,0,357,1,16,0,2,461,276,181,72.03654188948306,5.0,0.008912655971479501,Difficult,bags_per_pax,1.0
UA,944,2025-08-01,ORD,FRA,2025-08-01 15:10:00+00:00,2025-08-02 06:30:00+00:00,2025-08-01 16:40:00+00:00,2025-08-02 08:01:00+00:00,90.0,318,B787-10,Mainline,250,155,15,0.62,0,1.250783699059561,16.0,0.83,0.6006006006006006,0.3275,90.0,0,4,1,0,399,2,21,0,5,332,200,131,70.20944741532978,6.0,0.0106951871657754,Difficult,aircraft_size,1.0
UA,422,2025-08-01,ORD,ATH,2025-08-01 16:15:00+00:00,2025-08-02 10:30:00+00:00,2025-08-01 16:24:00+00:00,2025-08-02 09:58:00+00:00,9.0,318,B787-10,Mainline,185,155,16,0.8378378378378378,0,1.1630094043887147,13.2,0.6720430107526881,0.3944223107569721,0.3844086021505376,9.0,1,4,1,0,371,1,16,0,6,250,99,143,70.15002970885324,7.0,0.012477718360071301,Difficult,aircraft_size,1.0
UA,1146,2025-08-01,ORD,MBJ,2025-08-01 08:42:00+00:00,2025-08-01 12:49:00+00:00,2025-08-01 08:45:00+00:00,2025-08-01 12:46:00+00:00,3.0,166,B737-800,Mainline,41,65,8,1.5853658536585367,1,1.18562874251497,6.9,0.6884422110552764,0.3115942028985507,0.1658291457286432,3.0,1,3,1,1,198,1,9,32,2,137,43,33,69.93464052287582,8.0,0.0142602495543672,Difficult,high_stress_flight,1.0
UA,1710,2025-08-01,ORD,SMF,2025-08-01 19:59:00+00:00,2025-08-01 22:32:00+00:00,2025-08-01 20:19:00+00:00,2025-08-01 23:26:00+00:00,20.0,166,B737-800,Mainline,96,51,19,0.53125,0,1.2634730538922156,12.1,0.6320754716981132,0.8296296296296296,0.5566037735849056,20.0,1,3,0,0,211,2,16,18,3,134,112,118,69.42959001782532,9.0,0.016042780748663103,Difficult,family_complexity,1.0
OO,5790,2025-08-01,ORD,CRW,2025-08-01 18:20:00+00:00,2025-08-01 21:04:00+00:00,2025-08-01 19:14:00+00:00,2025-08-01 21:55:00+00:00,54.0,50,CRJ-200,Express,-7,29,18,2.0,1,1.0588235294117647,2.7,0.8363636363636363,0.574468085106383,0.5454545454545454,54.0,1,1,0,1,54,1,2,9,1,46,27,30,69.0136660724896,10.0,0.017825311942959002,Difficult,high_stress_flight,1.0
UA,1178,2025-08-01,ORD,ORF,2025-08-01 18:22:00+00:00,2025-08-01 21:40:00+00:00,2025-08-01 18:26:00+00:00,2025-08-01 22:00:00+00:00,4.0,179,B737-900,Mainline,120,119,18,0.9916666666666667,0,1.2833333333333334,10.1,0.6551724137931034,0.6601307189542484,0.4396551724137931,4.0,1,3,0,0,231,2,12,15,3,152,101,102,68.97653000594175,11.0,0.0196078431372549,Difficult,ground_time_pressure,1.0
YX,3716,2025-08-01,ORD,CMH,2025-08-01 18:17:00+00:00,2025-08-01 20:54:00+00:00,2025-08-01 20:11:00+00:00,2025-08-01 22:26:00+00:00,114.0,76,ERJ-175,Express,63,70,18,1.1111111111111112,1,1.12987012987013,2.0,0.6931818181818182,0.6774193548387096,0.3181818181818182,114.0,1,2,0,1,87,0,4,2,0,61,42,28,68.67944147355911,12.0,0.0213903743315508,Difficult,high_stress_flight,1.0
UA,118,2025-08-01,ORD,EDI,2025-08-01 18:40:00+00:00,2025-08-02 08:25:00+00:00,2025-08-01 20:02:00+00:00,2025-08-02 09:02:00+00:00,82.0,176,B757-200,Mainline,90,75,18,0.8333333333333334,0,1.152542372881356,5.4,0.8536585365853658,0.38636363636363635,0.33658536585365856,82.0,1,3,1,0,204,0,8,0,2,175,68,69,68.64230540701128,13.0,0.023172905525846704,Difficult,is_international,1.0
OO,4748,2025-08-01,ORD,ATW,2025-08-01 20:20:00+00:00,2025-08-01 21:35:00+00:00,2025-08-01 21:00:00+00:00,2025-08-01 22:02:00+00:00,40.0,50,CRJ-550,Express,3,29,20,2.0,1,1.0196078431372548,2.0,1.1132075471698113,0.8166666666666667,0.37735849056603776,40.0,1,1,0,1,52,1,2,4,0,59,49,20,68.55317884729648,14.0,0.024955436720142603,Difficult,bags_per_pax,1.0
UA,2207,2025-08-01,ORD,OMA,2025-08-01 15:58:00+00:00,2025-08-01 17:36:00+00:00,2025-08-01 16:27:00+00:00,2025-08-01 17:48:00+00:00,29.0,179,B737-MAX9,Mainline,15,56,15,2.0,1,1.15,6.9,0.6153846153846154,0.7364341085271318,0.4182692307692308,29.0,0,3,0,0,207,1,9,7,2,128,95,87,68.44919786096256,15.0,0.026737967914438502,Difficult,ground_time_pressure,1.0
UA,845,2025-08-01,ORD,GRU,2025-08-01 21:20:00+00:00,2025-08-02 09:30:00+00:00,2025-08-01 21:36:00+00:00,2025-08-02 09:32:00+00:00,16.0,318,B787-10,Mainline,360,155,21,0.4305555555555556,0,1.1504702194357366,13.1,1.1875,0.4589041095890411,0.5760869565217391,16.0,0,4,1,0,367,2,18,0,3,437,201,212,67.55050505050505,16.0,0.0285204991087344,Difficult,bags_per_pax,1.0
OO,5292,2025-08-01,ORD,MTY,2025-08-01 08:45:00+00:00,2025-08-01 11:41:00+00:00,2025-08-01 09:49:00+00:00,2025-08-01 12:14:00+00:00,64.0,76,ERJ-175,Express,40,42,8,1.05,1,0.948051948051948,0.5,0.918918918918919,0.08695652173913043,0.6486486486486487,64.0,1,2,1,1,73,0,1,11,0,68,6,48,67.3648247177659,17.0,0.030303030303030304,Difficult,high_stress_flight,1.0
